prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
Raw,rand,4,8,12,0,90.74,86.84,31,35,5,5,86.11,86.11,63,4.77,112.86,300.56
Raw,rand,5,8,12,0,96.64,84.93,29,33,8,3,90.62,78.38,64,4.69,133.44,300.14
APS,pw,1,8,12,0,92.31,76.00,23,34,4,14,62.16,85.19,65,4.52,89.29,293.82
APS,pw,2,8,12,0,83.39,59.14,12,43,3,35,25.53,80.00,64,4.68,41.16,299.69
APS,pw,3,8,12,0,94.39,77.22,12,49,7,11,52.17,63.16,63,4.81,120.27,303.11
APS,pw,4,8,12,0,92.24,84.62,24,42,5,7,77.42,82.76,67,4.47,47.94,299.64
APS,pw,5,8,12,0,89.54,81.33,50,11,8,6,89.29,86.21,67,4.49,57.04,300.93
APS,rand,1,8,12,0,92.00,93.33,34,36,4,1,97.14,89.47,62,4.85,41.90,300.97
APS,rand,2,8,12,0,97.23,89.33,28,39,1,7,80.00,96.55,63,4.80,297.75,302.63
APS,rand,3,8,12,0,87.92,84.06,22,36,5,6,78.57,81.48,65,4.64,263.76,301.46
APS,rand,4,8,12,0,95.37,85.53,33,32,8,3,91.67,80.49,65,4.68,177.56,304.05
APS,rand,5,8,12,0,97.86,87.67,30,34,7,2,93.75,81.08,64,4.70,220.61,300.86
ANS,pw,2,8,12,0,92.18,70.97,47,19,27,0,100.00,63.51,61,4.47,88.82,272.68
ANS,pw,3,8,12,0,98.13,70.89,0,56,0,23,0.00,0.00,62,4.87,301.79,301.79
ANS,pw,4,8,12,0,87.27,73.08,17,40,7,14,54.84,70.83,63,4.39,29.14,276.36
ANS,pw,5,8,12,0,94.46,78.67,56,3,16,0,100.00,77.78,68,4.42,135.91,300.22
ANS,rand,1,8,12,0,96.31,86.67,32,33,7,3,91.43,82.05,64,4.74,261.05,303.53
ANS,rand,2,8,12,0,95.69,89.33,30,37,3,5,85.71,90.91,65,4.67,285.10,303.33
ANS,rand,3,8,12,0,94.56,88.41,23,38,3,5,82.14,88.46,65,4.66,144.14,303.03
